pno,name,pdate,amount
857,강감찬,2023-03-20,384000
858,홍길순,2023-07-20,235000
859,강감찬,2023-01-01,10000
860,홍길자,2023-03-13,47000
861,김유신,2023-04-28,158000
862,김구,2023-08-06,341000
863,유관순,2023-06-28,200000
864,홍길동,2023-11-13,394000
865,홍길자,2023-09-06,194000
866,홍길순,2023-01-20,38000
867,홍길동,2023-03-08,266000
868,유관순,2024-03-28,261000
869,강감순,2023-01-13,109000
870,이유신,2023-12-23,301000
871,김유신,2023-01-02,138000
872,강감순,2024-04-29,389000
873,강감찬,2023-11-10,4000
874,홍길동,2023-06-06,185000
875,이순신,2023-03-16,149000
876,김유신,2023-05-11,92000
877,홍길자,2023-04-02,161000
878,강감순,2023-05-03,15000
879,김구,2023-01-05,116000
880,홍길동,2024-02-27,214000
881,홍길동,2023-05-30,152000
882,홍길자,2023-12-02,168000
883,홍길자,2023-12-14,111000
884,홍길순,2024-02-12,335000
885,홍길순,2023-09-09,273000
886,홍길동,2023-06-25,137000
887,김구,2023-05-30,307000
888,강감순,2024-02-06,282000
889,홍길순,2023-05-21,174000
890,강감찬,2024-04-28,308000
891,홍길자,2023-01-19,180000
892,강감찬,2023-09-24,194000
893,이순신,2024-03-17,334000
894,강감찬,2023-05-06,93000
895,이유신,2024-04-21,234000
896,강감찬,2023-06-12,139000
897,홍길자,2023-09-12,190000
898,강감찬,2023-05-04,316000
899,홍길순,2024-03-20,208000
900,홍길순,2023-06-09,330000
901,유관순,2024-03-24,149000
902,유관순,2024-03-11,134000
903,이유신,2023-08-05,367000
904,유관순,2024-03-01,47000
905,홍길순,2024-03-09,374000
906,홍길동,2023-05-23,303000
907,이순신,2023-03-26,339000
908,김유신,2023-03-21,89000
909,홍길순,2023-07-01,100000
910,강감찬,2023-04-02,333000
911,홍길자,2023-10-27,396000
912,강감찬,2024-02-15,43000
913,김구,2023-06-02,394000
914,홍길순,2023-01-28,324000
915,홍길자,2023-08-05,132000
916,이순신,2023-12-17,281000
917,김유신,2024-04-26,296000
918,홍길동,2023-03-07,324000
919,이순신,2023-10-11,32000
920,홍길동,2023-05-18,212000
921,홍길동,2024-04-04,156000
922,홍길자,2024-04-21,377000
923,홍길자,2023-05-29,12000
924,홍길동,2023-08-31,27000
925,홍길동,2023-12-01,336000
926,유관순,2023-04-02,249000
927,강감순,2024-04-17,241000
928,김구,2024-02-21,337000
929,홍길자,2023-05-03,94000
930,홍길자,2024-01-13,192000
931,이유신,2024-03-18,168000
932,홍길자,2023-11-26,224000
933,강감찬,2024-01-30,220000
934,홍길자,2023-02-05,183000
935,유관순,2023-07-27,258000
936,유관순,2023-06-07,211000
937,홍길동,2023-12-02,383000
938,김유신,2024-03-04,228000
939,홍길동,2023-02-14,11000
940,김유신,2023-05-21,383000
941,이유신,2023-02-03,93000
942,강감순,2023-06-26,325000
943,김유신,2023-05-27,211000
944,홍길자,2024-02-29,169000
945,홍길자,2024-02-14,271000
946,이유신,2023-05-01,373000
947,김유신,2024-03-06,339000
948,김구,2023-05-19,337000
949,김유신,2023-05-31,384000
950,홍길자,2023-04-14,335000
951,홍길순,2023-10-03,376000
952,이순신,2023-01-01,324000
953,유관순,2023-08-19,30000
954,김유신,2023-08-06,262000
955,홍길자,2023-10-09,273000
956,김구,2023-10-30,126000
957,유관순,2024-03-22,246000
958,홍길순,2024-03-01,182000
959,김구,2023-07-06,204000
960,홍길순,2023-01-04,259000
961,강감순,2024-03-30,2000
962,홍길동,2023-03-09,14000
963,강감찬,2023-06-11,9000
964,김유신,2023-03-23,176000
965,김구,2023-04-11,172000
966,강감순,2023-03-24,315000
967,홍길순,2023-12-31,393000
968,홍길동,2023-03-18,170000
969,강감찬,2024-04-12,103000
970,홍길동,2023-11-22,391000
971,김구,2023-03-14,207000
972,이순신,2023-11-05,103000
973,강감찬,2023-04-11,394000
974,홍길자,2023-07-13,19000
975,김유신,2023-04-04,19000
976,강감찬,2023-09-20,168000
977,이유신,2023-09-27,274000
978,김유신,2023-06-24,75000
979,강감순,2023-02-17,163000
980,김구,2023-09-20,367000
981,강감순,2024-01-20,2000
982,강감순,2024-04-14,387000
983,홍길순,2023-04-03,44000
984,강감찬,2024-02-21,30000
985,김유신,2023-11-01,350000
986,김구,2023-03-09,335000
987,홍길자,2024-03-03,230000
988,김구,2023-01-03,149000
989,유관순,2024-04-21,258000
990,홍길자,2023-02-04,11000
991,이순신,2023-04-27,178000
992,홍길순,2024-02-09,55000
993,김구,2024-04-06,187000
994,이순신,2024-01-01,242000
995,강감순,2023-11-02,59000
996,유관순,2024-01-17,197000
997,홍길자,2024-04-27,82000
998,홍길자,2023-12-03,76000
999,홍길순,2024-03-02,30000
1000,홍길동,2023-03-13,320000
