no,name,kor,eng,math,total,avg
688,Caty,71,21,87,179,59.6666666667
689,Elysia,76,12,8,96,32
690,Maurise,93,58,12,163,54.3333333333
691,Francis,14,2,49,65,21.6666666667
692,Kermie,46,16,78,140,46.6666666667
693,Hazel,40,13,12,65,21.6666666667
694,Winnah,58,44,11,113,37.6666666667
695,Roshelle,32,100,6,138,46
696,Vina,8,6,8,22,7.3333333333
697,Ronald,63,46,20,129,43
698,Rowen,56,73,4,133,44.3333333333
699,Nero,15,76,85,176,58.6666666667
700,Brianne,86,52,47,185,61.6666666667
701,Penn,39,21,46,106,35.3333333333
702,Rosalynd,84,53,4,141,47
703,Alyssa,86,79,68,233,77.6666666667
704,Branden,42,45,38,125,41.6666666667
705,Ellwood,83,83,81,247,82.3333333333
706,Star,39,14,97,150,50
707,Roch,57,81,38,176,58.6666666667
708,Brok,89,39,62,190,63.3333333333
709,Albina,50,45,87,182,60.6666666667
710,Sibyl,89,83,28,200,66.6666666667
711,Meryl,23,44,49,116,38.6666666667
712,Didi,57,2,34,93,31
713,Brose,87,99,45,231,77
714,Kata,87,95,75,257,85.6666666667
715,Grier,66,97,7,170,56.6666666667
716,Domeniga,86,26,91,203,67.6666666667
717,Cord,36,22,20,78,26
718,Mirabella,72,55,39,166,55.3333333333
719,Tallie,80,33,8,121,40.3333333333
720,Darline,78,14,26,118,39.3333333333
721,Elly,45,48,49,142,47.3333333333
722,Goldia,40,60,7,107,35.6666666667
723,Kathye,89,27,26,142,47.3333333333
724,Vivyan,7,52,49,108,36
725,Paige,27,44,65,136,45.3333333333
726,Archibald,17,56,85,158,52.6666666667
727,Pavlov,82,80,75,237,79
728,Paulie,99,91,87,277,92.3333333333
729,Stafani,82,19,73,174,58
730,Haywood,85,50,25,160,53.3333333333
731,Orlando,77,81,52,210,70
732,Abeu,72,57,94,223,74.3333333333
733,Jarrid,93,97,70,260,86.6666666667
734,Abigale,26,97,64,187,62.3333333333
735,Ladonna,75,96,12,183,61
736,Mill,79,89,51,219,73
737,Jobi,3,66,41,110,36.6666666667
738,Linda,54,78,34,166,55.3333333333
739,Vida,35,61,100,196,65.3333333333
740,Brena,67,28,59,154,51.3333333333
741,Dominica,85,83,33,201,67
742,Cathrine,54,41,81,176,58.6666666667
743,Lorenzo,100,56,85,241,80.3333333333
744,Ruby,65,4,39,108,36
745,Ivar,62,98,67,227,75.6666666667
746,Rori,1,17,18,36,12
747,Veda,18,11,91,120,40
748,Chauncey,20,3,44,67,22.3333333333
749,Leia,59,27,45,131,43.6666666667
750,Galvin,33,95,55,183,61
751,Kassie,87,28,9,124,41.3333333333
752,Cross,25,98,15,138,46
753,Bridie,57,87,78,222,74
754,Rasla,5,83,3,91,30.3333333333
755,Clair,95,30,12,137,45.6666666667
756,Alard,49,13,74,136,45.3333333333
757,Jefferey,41,81,48,170,56.6666666667
758,Murry,24,26,89,139,46.3333333333
759,Sarah,7,93,15,115,38.3333333333
760,Nancie,47,15,30,92,30.6666666667
761,North,21,69,7,97,32.3333333333
762,Madelina,13,49,12,74,24.6666666667
763,Burnaby,33,98,45,176,58.6666666667
764,Willi,26,43,35,104,34.6666666667
765,Anya,28,19,45,92,30.6666666667
766,Flynn,97,47,13,157,52.3333333333
767,Ferdinanda,49,17,43,109,36.3333333333
768,Meridel,39,83,26,148,49.3333333333
769,Ursuline,60,13,60,133,44.3333333333
770,Dwain,33,29,90,152,50.6666666667
771,Rora,72,49,5,126,42
772,Goldarina,68,47,98,213,71
773,Yelena,54,51,17,122,40.6666666667
774,Dottie,79,50,96,225,75
775,Bob,67,91,70,228,76
776,Annabel,68,56,20,144,48
777,Andras,7,9,53,69,23
778,Rex,67,70,78,215,71.6666666667
779,Jaymee,89,63,70,222,74
780,Perkin,4,14,71,89,29.6666666667
781,Noelyn,55,84,67,206,68.6666666667
782,Yehudit,11,84,91,186,62
783,Wilmar,45,13,76,134,44.6666666667
784,Selig,9,26,78,113,37.6666666667
785,Darryl,67,86,94,247,82.3333333333
786,Ray,82,64,93,239,79.6666666667
787,Raddie,92,6,85,183,61
788,Oliy,11,45,13,69,23
789,Jobie,92,18,38,148,49.3333333333
790,Vonnie,1,92,9,102,34
791,Lizette,87,49,22,158,52.6666666667
792,Gabriellia,64,6,87,157,52.3333333333
793,Hyatt,85,6,41,132,44
794,Katherine,3,69,17,89,29.6666666667
795,Cecil,32,84,57,173,57.6666666667
796,Elena,26,2,2,30,10
797,Riane,15,95,77,187,62.3333333333
798,Husein,79,21,51,151,50.3333333333
799,Edan,21,30,44,95,31.6666666667
800,Johnette,4,17,8,29,9.6666666667
801,Wilmette,5,29,43,77,25.6666666667
802,Kristyn,18,95,58,171,57
803,Fairfax,27,12,29,68,22.6666666667
804,Nathalia,7,54,70,131,43.6666666667
805,Marthena,24,47,50,121,40.3333333333
806,Desdemona,9,47,98,154,51.3333333333
807,Kylynn,64,11,24,99,33
808,Rancell,24,63,99,186,62
809,Audrie,61,7,8,76,25.3333333333
810,Marne,69,65,20,154,51.3333333333
811,Joleen,32,6,34,72,24
812,Cesya,66,22,99,187,62.3333333333
813,Demott,46,8,57,111,37
814,Diannne,99,91,34,224,74.6666666667
815,Nanete,16,80,56,152,50.6666666667
816,Salaidh,99,54,91,244,81.3333333333
817,Jessamine,89,80,18,187,62.3333333333
818,Glyn,24,29,72,125,41.6666666667
819,Witty,38,94,21,153,51
820,Gabriell,72,5,10,87,29
821,Jolie,27,10,37,74,24.6666666667
822,Nettie,83,31,19,133,44.3333333333
823,Kristy,4,39,78,121,40.3333333333
824,Marrissa,31,24,91,146,48.6666666667
825,Adelheid,20,13,98,131,43.6666666667
826,Noll,24,39,71,134,44.6666666667
827,Justus,39,56,36,131,43.6666666667
828,Tomasine,72,100,41,213,71
829,Coralyn,70,29,83,182,60.6666666667
830,Gus,97,89,40,226,75.3333333333
831,Gardener,52,61,52,165,55
832,Mignonne,49,97,51,197,65.6666666667
833,Shaine,82,18,78,178,59.3333333333
834,Lewiss,36,29,32,97,32.3333333333
835,Britt,35,51,76,162,54
836,Carly,32,74,7,113,37.6666666667
837,Virge,74,75,91,240,80
838,Flem,1,4,10,15,5
839,Hilde,93,64,94,251,83.6666666667
840,La verne,19,79,17,115,38.3333333333
841,Rosa,73,23,65,161,53.6666666667
842,Kittie,88,63,99,250,83.3333333333
843,Aliza,81,49,75,205,68.3333333333
844,Anna-diane,18,48,31,97,32.3333333333
845,Lorette,89,35,76,200,66.6666666667
846,Kristine,30,61,14,105,35
847,Maggie,88,2,61,151,50.3333333333
848,Suzi,99,15,79,193,64.3333333333
849,Wells,43,81,66,190,63.3333333333
850,Martainn,77,69,33,179,59.6666666667
851,Reinaldo,22,86,20,128,42.6666666667
852,Lorena,65,2,72,139,46.3333333333
853,Frederigo,93,21,85,199,66.3333333333
854,Octavius,84,41,20,145,48.3333333333
855,Leonora,45,57,89,191,63.6666666667
856,Jaquenette,69,18,44,131,43.6666666667
857,Kellen,47,95,16,158,52.6666666667
858,Sterling,12,68,39,119,39.6666666667
859,Elmo,62,82,20,164,54.6666666667
860,Bobina,88,31,89,208,69.3333333333
861,Bondy,84,96,58,238,79.3333333333
862,Jere,63,76,14,153,51
863,Ilyssa,65,57,55,177,59
864,Pip,38,51,45,134,44.6666666667
865,Bob,98,56,14,168,56
866,Clary,93,57,99,249,83
867,Barbe,58,63,64,185,61.6666666667
868,Rasia,87,67,93,247,82.3333333333
869,Ally,88,8,55,151,50.3333333333
870,Egor,97,59,49,205,68.3333333333
871,Shelley,21,70,98,189,63
872,Brit,63,31,34,128,42.6666666667
873,Bamby,37,11,77,125,41.6666666667
874,Sylvan,25,79,3,107,35.6666666667
875,Fawne,76,23,92,191,63.6666666667
876,Lisle,91,78,77,246,82
877,Shellie,96,67,69,232,77.3333333333
878,Crawford,76,13,46,135,45
879,Bartel,80,74,50,204,68
880,Gene,99,13,84,196,65.3333333333
881,Sollie,29,67,79,175,58.3333333333
882,Della,7,1,4,12,4
883,Ronalda,86,15,21,122,40.6666666667
884,Lavina,28,15,64,107,35.6666666667
885,Katalin,4,22,14,40,13.3333333333
886,Horacio,54,42,22,118,39.3333333333
887,Lynnelle,56,23,25,104,34.6666666667
888,Ginger,16,44,53,113,37.6666666667
889,Davide,95,39,74,208,69.3333333333
890,Esme,93,40,18,151,50.3333333333
891,Johnathan,30,47,49,126,42
892,Heddie,80,45,73,198,66
893,Collete,96,32,17,145,48.3333333333
894,Gerard,72,66,90,228,76
895,Ina,90,95,63,248,82.6666666667
896,Zorine,90,60,77,227,75.6666666667
897,Stormy,8,78,94,180,60
898,Odette,39,22,60,121,40.3333333333
899,Omero,6,19,95,120,40
900,Miller,38,67,56,161,53.6666666667
901,Brietta,100,37,1,138,46
902,Hercules,29,73,67,169,56.3333333333
903,Julienne,39,33,38,110,36.6666666667
904,Adelheid,85,45,74,204,68
905,Idell,38,34,6,78,26
906,Marget,26,37,33,96,32
907,Adriane,59,30,88,177,59
908,Aaron,5,82,37,124,41.3333333333
909,Isidore,56,19,89,164,54.6666666667
910,Emmi,87,10,83,180,60
911,Hali,44,40,94,178,59.3333333333
912,Melesa,6,10,93,109,36.3333333333
913,Editha,36,99,16,151,50.3333333333
914,Issie,87,60,48,195,65
915,Theobald,58,36,61,155,51.6666666667
916,Rea,59,2,73,134,44.6666666667
917,Kenyon,16,12,45,73,24.3333333333
918,Gill,92,58,42,192,64
919,Vanessa,11,72,39,122,40.6666666667
920,Susanna,17,29,77,123,41
921,Shel,68,99,54,221,73.6666666667
922,Pavel,70,82,8,160,53.3333333333
923,Donal,88,20,50,158,52.6666666667
924,Ardeen,99,23,39,161,53.6666666667
925,Rick,94,8,51,153,51
926,Patricia,86,22,60,168,56
927,Winonah,42,17,15,74,24.6666666667
928,Murry,8,33,67,108,36
929,Chicky,21,14,65,100,33.3333333333
930,Corissa,49,96,41,186,62
931,Evonne,73,27,39,139,46.3333333333
932,Denny,100,96,3,199,66.3333333333
933,Natalee,85,77,13,175,58.3333333333
934,Stephie,99,75,39,213,71
935,Maiga,9,17,49,75,25
936,Gerri,1,2,91,94,31.3333333333
937,Jonie,75,65,58,198,66
938,Con,17,53,78,148,49.3333333333
939,Tymothy,100,29,5,134,44.6666666667
940,Demetre,63,19,20,102,34
941,Timofei,29,68,67,164,54.6666666667
942,Tally,10,21,60,91,30.3333333333
943,Adolph,74,30,84,188,62.6666666667
944,Reina,23,8,56,87,29
945,Rosalia,50,62,21,133,44.3333333333
946,Micah,97,3,23,123,41
947,Martguerita,58,1,89,148,49.3333333333
948,Darcey,14,26,47,87,29
949,Kaylee,43,99,18,160,53.3333333333
950,Gianni,1,67,30,98,32.6666666667
951,Ring,60,15,97,172,57.3333333333
952,Jabez,26,58,15,99,33
953,Clementine,96,13,55,164,54.6666666667
954,Madella,65,16,93,174,58
955,Sig,85,39,53,177,59
956,Rockie,49,74,43,166,55.3333333333
957,Ally,8,47,3,58,19.3333333333
958,Lauraine,81,9,88,178,59.3333333333
959,Mel,58,14,66,138,46
960,Gui,24,13,75,112,37.3333333333
961,Tisha,44,4,74,122,40.6666666667
962,Shelley,47,24,34,105,35
963,Evy,93,56,98,247,82.3333333333
964,Phillipe,10,42,57,109,36.3333333333
965,Rickert,42,93,61,196,65.3333333333
966,Merrill,94,18,42,154,51.3333333333
967,Alwin,77,70,40,187,62.3333333333
968,Erik,14,24,62,100,33.3333333333
969,Alessandra,26,55,28,109,36.3333333333
970,Pyotr,26,77,51,154,51.3333333333
971,Nanete,61,71,24,156,52
972,Lyndy,100,24,63,187,62.3333333333
973,Candy,24,19,59,102,34
974,Cam,24,16,91,131,43.6666666667
975,Rollins,53,64,88,205,68.3333333333
976,Jobi,68,52,69,189,63
977,Sandie,63,97,59,219,73
978,Orelee,78,27,25,130,43.3333333333
979,Randa,43,56,94,193,64.3333333333
980,Waneta,25,9,18,52,17.3333333333
981,Laurice,58,20,20,98,32.6666666667
982,Wendeline,98,45,75,218,72.6666666667
983,Niki,66,86,36,188,62.6666666667
984,Tiebout,6,78,85,169,56.3333333333
985,Lorilyn,82,83,1,166,55.3333333333
986,Lindy,91,6,78,175,58.3333333333
987,Scotti,96,64,2,162,54
988,Franky,79,79,33,191,63.6666666667
989,Ashley,50,42,38,130,43.3333333333
990,Rani,87,65,10,162,54
991,Ezekiel,88,40,98,226,75.3333333333
992,Shawn,56,16,82,154,51.3333333333
993,Edgard,83,90,22,195,65
994,Katy,30,15,80,125,41.6666666667
995,Giacobo,35,65,32,132,44
996,Alden,2,82,39,123,41
997,Lennie,29,55,31,115,38.3333333333
998,Mair,31,63,98,192,64
999,Brett,66,50,83,199,66.3333333333
1000,Beniamino,89,89,93,271,90.3333333333
